Country,Country Code,IndicatorName,Indicator Code,Unnamed: 65,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,,Latin America & Caribbean,High income,,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,,South Asia,Low income,Fiscal year end: March 20; reporting period for national accounts data: FY.,Afghanistan,,26.8299999237061,26.780000686645497,26.600000381469698,26.5900001525879,26.7299995422363,26.760000228881804,26.8299999237061,26.9599990844727,27.0900001525879,27.190000534057603,27.2700004577637,28.2900009155273,28.7099990844727,28.969999313354503,29.4099998474121,29.8199996948242,30.600000381469698,31.239999771118196,32.6800003051758,34.2700004577637,35.5099983215332,37.0099983215332,38.529998779296896,40.029998779296896,41.569999694824205,43.3499984741211,45.2000007629395,45.8499984741211,46.5499992370605
Afghanistan,AFG,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,South Asia,Low income,Fiscal year end: March 20; reporting period for national accounts data: FY.,Afghanistan,,9.0600004196167,9.19999980926514,9.329999923706051,9.61999988555908,9.5600004196167,9.60999965667725,9.670000076293949,9.75,9.8100004196167,9.81999969482422,9.77000045776367,9.84000015258789,10.1000003814697,9.97999954223633,10.3800001144409,10.5699996948242,10.9300003051758,10.9200000762939,10.970000267028801,10.6499996185303,10.3000001907349,10.0699996948242,9.89999961853027,9.72999954223633,9.52999973297119,9.51000022888184,9.5,9.72000026702881,10.020000457763699
Afghanistan,AFG,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,,South Asia,Low income,Fiscal year end: March 20; reporting period for national accounts data: FY.,Afghanistan,,12.0500001907349,11.8299999237061,11.1599998474121,11.039999961853,11.109999656677198,10.6899995803833,10.3100004196167,9.97000026702881,9.60000038146973,9.15999984741211,8.71000003814697,9.75,10.1499996185303,10.520000457763699,11.289999961853,11.789999961853,12.109999656677198,12.3999996185303,13.4300003051758,14.3400001525879,14.289999961853,15.1800003051758,15.5900001525879,15.880000114440902,16.129999160766598,15.9899997711182,16.4400005340576,16.8899993896484,16.8500003814697
Afghanistan,AFG,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,,South Asia,Low income,Fiscal year end: March 20; reporting period for national accounts data: FY.,Afghanistan,,14.5600004196167,14.3999996185303,13.9099998474121,14.0500001907349,13.789999961853,13.3500003814697,12.9300003051758,12.5,12.0100002288818,11.390000343322802,10.5900001525879,11.4300003051758,11.520000457763699,11.0699996948242,11.529999732971199,11.8000001907349,12.6899995803833,12.9200000762939,14.8100004196167,16.4400005340576,17.2999992370605,18.979999542236303,20.1100006103516,21.090000152587898,21.8799991607666,22.940000534057603,24.280000686645497,24.510000228881804,25.0200004577637
Afghanistan,AFG,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,,South Asia,Low income,Fiscal year end: March 20; reporting period for national accounts data: FY.,Afghanistan,,30.5900001525879,30.469999313354503,30.600000381469698,30.5900001525879,30.0400009155273,30.0699996948242,30.0699996948242,29.969999313354503,29.8299999237061,29.6700000762939,29.2999992370605,27.760000228881804,26.8700008392334,26.4099998474121,25.489999771118196,24.8700008392334,23.8400001525879,23.1599998474121,21.649999618530302,20.340000152587898,19.5300006866455,18.1499996185303,16.7999992370605,15.710000038147,14.710000038147,13.609999656677198,12.3999996185303,11.859999656677198,11.3199996948242
Afghanistan,AFG,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,,South Asia,Low income,Fiscal year end: March 20; reporting period for national accounts data: FY.,Afghanistan,,87.02999877929692,87.1399993896484,87.51000213623051,87.91000366210942,87.73999786376949,88.0699996948242,88.4199981689453,88.7300033569336,89.05999755859379,89.44000244140629,89.8000030517578,89.02999877929692,88.80999755859379,88.8499984741211,88.4800033569336,88.3199996948242,87.8499984741211,87.75,86.25,84.7799987792969,83.4700012207031,81.4899978637695,79.2699966430664,77.129997253418,74.8000030517578,72.0400009155273,68.6100006103516,68.16000366210939,67.4300003051758
